Id,Name,Desc
1,KFC,"Là thương hiệu đồ ăn nhanh nổi tiếng nhất hiện nay, khi nhắc đến những thức ăn nhanh thì chắc có lẽ mọi người sẽ nghĩ ngay đến KFC đầu tiên. KFC dần trở nên rất quen thuộc với người dân Việt và rất được ưa chuộng. Món ăn hút khách nhất ở KFC chắc chắn là gà rán, món gà rán ở KFC nổi tiếng thơm ngon, được chế biến với nhiều hương vị khác nhau mang đến cảm giác ngon miệng cho người ăn. Ngoài gà rán thì tại KFC còn có các món như salad, hamburger hay cơm gà,..."
2,Lotteria,"Lotteria là chuỗi cửa hàng thức ăn nhanh bắt nguồn tại Đông Á với cửa hàng đầu tiên ở Tokyo, Nhật Bản vào tháng 9 năm 1972. Lấy tên gọi bắt nguồn từ tên của công ty mẹ - Tập đoàn Lotte, thương hiệu hiện có chi nhánh ở Nhật Bản, Hàn Quốc, Indonesia, Việt Nam và Myanmar"
3,Domino's Pizaa,"Domino’s Pizza lần đầu xuất hiện trên thị trường vào năm 1960 khi 2 anh em nhà Monaghan là Tom và Jame Monaghan mua lại một cửa hàng pizza nhỏ có tên gọi Dominick’s Pizza ở Michigan với giá 500 đôla Mỹ. Sau 8 tháng, Jame từ bỏ việc kinh doanh và bán lại cổ phần của mình cho anh trai Tom với giá tương đương một chiếc xe Volkswagen loại cũ. Điều này khiến Tom nghĩ đến việc đem lại sức sống mới cho thương hiệu pizza của mình và quyết định đổi tên thành Domino’s Pizza."
4,Pew Pew,"Chắc hẳn các bạn đều biết bánh mì kẹp là món ăn dân giã từ xa xưa của người Việt Nam, được ví như loại sanwich ngon nhất thế giới, chính vì thế, kinh doanh bánh mì quả là một sáng kiến không tồi. Vậy nếu bạn là người hâm mộ của pewpew hay có hứng thú với ngành nghề kinh doanh này, thì cùng tìm hiểu những bước đầu tiên để bắt tay vào chiến lược này nhé
Trước hết, để có thể kinh doanh bánh mì chú pew thì bạn phải sở hữu một chiếc xe bánh mì. Hiện nay trên thị trường có rất nhiều nơi bán xe bánh mì nhưng chỉ một vài nơi có thể đáp ứng được nhu cầu rẻ - chất lượng"
5,Hoàng Yến Vietnamese Cuisine,"Thương hiệu Hoàng Yến từ lâu đã trở thành điểm đến quen thuộc của những người yêu ẩm thực truyền thống Việt Nam. Nét đặc sắc khó quên của Hoàng Yến được tạo nên bởi cái hồn trong mỗi món ăn, đúc kết từ niềm đam mê khám phá mỹ vị ẩm thực ba miền của người sáng lập và lưu giữ nét văn hoá trong mỗi tác phẩm. Hoàng Yến luôn chinh phục khách hàng dù là khó tính nhất bằng những món ăn rất riêng, từ dân dã như cánh gà chiên nước mắm, thịt kho nước dừa, canh cua rau đay, chả cá cơm cháy,… đến các món sang trọng và tinh tế như tôm càng kho tàu, cơm hấp lá sen, hải sâm cơm cháy, miến cua tay cầm, chả cá Lã Vọng, chả mực Hạ Long,…

Thực khách có thể tự mình khám phá nét duyên của ẩm thực Việt Nam qua những món ăn truyền thống cũng như những món được biến tấu sáng tạo từ những nguyên liệu vốn đơn giản và thuần Việt."
6,Sumo BBQ,"Gắn liền với tên gọi của nghệ thuật nướng nổi tiếng Nhật Bản, Sumo Yakiniku là nhà hàng thịt nướng chú trọng đến nguyên liệu thượng hạng hay quá trình chuẩn bị tinh tế công phu từ bảo quản, chế biến thịt, sốt ướp, sốt chấm và kỹ thuật nướng."
7,Ba con cừu,"Là một thương hiệu của Golden Gate JSC, công ty sáng lập và sở hữu các chuỗi nhà hàng Ashima, Kichi Kichi, SumoBBQ, Ba Con Cừu (the Mongolian Hotpot) lần đầu tiên ra mắt tại Việt Nam từ tháng 8/2012 là chuỗi nhà hàng tiên phong về lẩu cừu non Mông Cổ."
8,Osaka Ohsho,Quán Mì Gyoza trứ danh Nhật Bản thuộc tập đoàn Golden Gate
9,Kichi Kichi,Hệ thống nhà hàng Lẩu băng chuyền hàng đầu Việt Nam với gần 100 nhà hàng trên toàn quốc.
10,Crystal Jade Kitchen,"Lần đầu tiên xuất hiện tại Việt Nam, Crystal Jade – chuỗi nhà hàng danh tiếng Châu Á với hơn 120 nhà hàng tại 21 thành phố mang đến sự giao thoa giữa nền ẩm thực Quảng Đông truyền thống và xu hướng ẩm thực hiện đại. Với hơn 100 món ăn Quảng Đông danh tiếng ở mức giá chỉ từ 50,000đ; từng câu chuyện trong bữa ăn của bạn càng thêm thú vị bởi không gian hiện đại cùng phong cách ẩm thực chuẩn quốc tế khi đến với Crystal Jade Kitchen."
